INFO 2024-08-30 17:54:24,020 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-30 17:54:24,021 autoreload Waiting for apps ready_event.
DEBUG 2024-08-30 17:54:24,034 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-30 17:54:24,060 autoreload Watching dir C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\mediatheque\templates with glob **/*.
DEBUG 2024-08-30 17:54:24,060 autoreload Watching dir C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\membres\templates with glob **/*.
DEBUG 2024-08-30 17:54:24,060 autoreload Watching dir C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\bibliothecaires\templates with glob **/*.
DEBUG 2024-08-30 17:54:24,061 autoreload Watching dir C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\locale with glob **/*.mo.
DEBUG 2024-08-30 17:54:24,061 autoreload Watching dir C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\mediatheque\locale with glob **/*.mo.
DEBUG 2024-08-30 17:54:24,062 autoreload Watching dir C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\bibliothecaires\locale with glob **/*.mo.
DEBUG 2024-08-30 17:54:24,062 autoreload Watching dir C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\membres\locale with glob **/*.mo.
DEBUG 2024-08-30 17:54:24,093 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-08-30 17:54:24,096 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-08-30 17:54:24,214 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\messages\middleware.py first seen with mtime 1723813828.3467252
DEBUG 2024-08-30 17:54:24,214 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\inspect.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,214 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1723813828.7597878
DEBUG 2024-08-30 17:54:24,214 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1723813828.9252794
DEBUG 2024-08-30 17:54:24,215 autoreload File C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\manage.py first seen with mtime 1724339728.7675855
DEBUG 2024-08-30 17:54:24,215 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\urls\utils.py first seen with mtime 1723813829.1382139
DEBUG 2024-08-30 17:54:24,215 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1723813829.1547318
DEBUG 2024-08-30 17:54:24,215 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1723813827.092621
DEBUG 2024-08-30 17:54:24,216 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\wsgiref\handlers.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,216 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\email\generator.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,216 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_futures.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,216 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1723813829.0437863
DEBUG 2024-08-30 17:54:24,216 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1723813829.1757288
DEBUG 2024-08-30 17:54:24,217 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1723813828.9212792
DEBUG 2024-08-30 17:54:24,217 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\asyncio\format_helpers.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,217 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1723813828.9697945
DEBUG 2024-08-30 17:54:24,217 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\views\generic\list.py first seen with mtime 1723813829.178729
DEBUG 2024-08-30 17:54:24,218 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\hashlib.py first seen with mtime 1717696452.0
